Number,TagID_Hex,spp,Rel_group,TankID,TagDate,MortDate,ReasonforMort,Mort_Mass_g,Mort_FL_mm,Sex,ReproIndex,ReproNotes,Ext.Bruise_Score,ExtBruise_Notes,IntBruise_Score,IntBruise_Notes,Incision_Score,Incision_Notes,TagPlacement_Score,TagPlacement_Notes,GenAppearance_Score,GenAppearance_Notes,CumulativeScore,Gut_Full (Y/N),Other Notes,PhotosTaken (Y/N),Photo Notes
35,02AF,DeltaSmelt,LT,AES-11,8/11/23,8/13/23,Natural,5.4,89,M,2,enlarged testes,2,significant bruising opposite of incision and ventral of incision,3,significant internal hemorraging,2,"open, bloody",4,"moved dorsal, and towards head, caused damage to internal organs",1,redness around head and right eye,,N,,n,
36,526,DeltaSmelt,LT,AES-11,8/11/23,8/13/23,Natural,3.4,74,M,4,post spawn ,1,minor bruising opposite incision,2,significant bleeding around tag,1,"slightly open, red",0,,0,,,N,,n,
37,NA,DeltaSmelt,LS,AES-9,8/11/23,8/13/23,Natural,3.7,77,F,1,premature eggs ,0,,0,,1,"slightly open, clean",,,1,frayed caudal,,n,fish looked healty,n,
38,NA,DeltaSmelt,FC,AES-1,8/8/23,8/13/23,Natural,2.7,72,M,2,enlarged testes,0,,0,,,,,,0,,,n,"small male, seemed healthy",n,
39,NA,DeltaSmelt,FC,AES-7,8/11/23,8/13/23,Natural,4.7,81,F,1,premature eggs,0,,0,,,,,,0,,,y,healthy female,n,
40,NA,DeltaSmelt,LS,AES-3,8/8/23,8/13/23,Natural,4.6,84,M,2,enlarged testes,0,,0,,1,"good, barely open",,,0,,,n,,n,
41,315,DeltaSmelt,LT,AES-5,8/8/23,8/13/23,Natural,4.4,79,M,1,normal testes,1,bruising around incision,0,,2,"slightly open, significant redness",2,"dorsal and posterior migration, may have impact GI tract",2,redness throughout body,,n,,n,
42,01A6,DeltaSmelt,LT,AES-5,8/8/23,8/14/23,Natural,3.8,79,M,2,enlarged testes,0,,0,,1,partially healed,0,,0,,,N,,n,
43,NA,DeltaSmelt,LS,AES-3,8/8/23,8/14/23,Natural,3.4,75,F,3,,0,,,,1,"open, clean",,,0,,,N,,n,
44,NA,DeltaSmelt,HC,AES-8,8/11/23,8/14/23,Natural,4.1,81,F,4,,1,"ventral, possibly due to spawning",0,,,,,,0,,,N,,n,
45,NA,DeltaSmelt,LS,AES-9,8/11/23,8/14/23,Natural,3.3,78,F,4,Post-spawn,1,Minor bruising opp of incision,,,1,partially healed,,,1,frayde caudal,,N,,n,
46,NA,DeltaSmelt,VS,AES-10,8/11/23,8/14/23,Natural,4,77,F,3,,2,bruising around pec fins,0,,2,"open, fatty tissue pertruding",,,0,,,N,,n,
47,068D,DeltaSmelt,LT,AES-11,8/11/23,8/14/23,Natural,3.2,78,M,1 or 4,unsure due to potential very small testes,1,Minor bruising opp of incision,1,minor redness around tag,1,"clean, open",3,damage to GI tract,1,frayde caudal and red eyes,,N,,n,
48,02D6,DeltaSmelt,LT,AES-11,8/11/23,8/14/23,Natural,3.9,83,F,4,,1,Minor bruising opp of incision,0,,1,open ,1,,0,,,N,,n,
49,002C,DeltaSmelt,VT,AES-12,8/11/23,8/14/23,Natural,2.8,74,M,2,enlarged testes,1,minor bruising around pec fin,0,,1,partially open,0,,1,frayde caudal,,N,,n,
50,NA,DeltaSmelt,HC,AES-8,8/11/23,8/15/23,Natural,5.8,88,F,3,mature eggs,0,,0,,,,,,0,,,n,"fish looks great, ready to spawn",n,
51,NA,DeltaSmelt,HC,AES-8,8/11/23,8/15/23,Natural,3.9,79,M,2,enlarged testes,1,minor brusing right side between pec and pelvic fins,0,,,,,,1,minor redness around head,,n,,n,
52,NA,DeltaSmelt,VS,AES-10,8/11/23,8/15/23,Natural,2.3,71,F,1,early stage egg development,0,,0,,1,"double incision, but clean and mostly closed",,,0,,,n,,n,
53,535,DeltaSmelt,VT,AES-12,8/11/23,8/15/23,Natural,3,73,M,2,enlarged testes,1,minor bruising right pec fin,0,,1,"open, teste visible",0,"good, no movement",0,,,y,,n,
54,Shed,DeltaSmelt,VT,AES-12,8/11/23,8/15/23,Natural,5.7,87,F,3,maybe partially 4,0,,0,,1,"clean, open",NA - shed,,0,,,n,"fish looks good, shed tag but incision looks good (not too large) maybe mort due to partial spawn",n,
55,018F,DeltaSmelt,VT,AES-12,8/11/23,8/16/23,Natural,3,72,M,1,,1,minor brusiing on either side,1,,1,"open, tag visible",2,90 degrees of rotation,0,,,N,fish looks good,n,
56,N/A,DeltaSmelt,VS,AES-10,8/11/23,8/16/23,Natural,2.1,72,M,1 or 4,"very small testies, unsure if post spawn",1,brusing near vent,0,,1,"closed, red",,,1,redness throughout,,N,,n,
57,N/A,DeltaSmelt,FC,AES-7,8/11/23,8/16/23,Natural,4,85,F,4,post-spawn ,1,minor vental brusing,0,,,,,,0,,,N,,n,
58,05C2,DeltaSmelt,LT,AES-5,8/8/23,8/16/23,Natural,6.1,89,F,1,,1,"brusing near vent, pelvic fins",0,,1,mostly healed,0,,0,,,n,,n,
59,N/A,DeltaSmelt,VS,AES-4,8/8/23,8/16/23,Natural,4.3,80,F,4,post-spawn,2,significant brusing near vent ,0,,1,"closed, red",,,1,general redness throughout,,n,,n,
60,N/A,DeltaSmelt,HC,AES-2,8/8/23,8/16/23,Natural,4.7,85,F,4,post-spawn,2,brusing around pelvic fins,0,,,,,,1,redness throughout,,n,,n,
61,01AF,DeltaSmelt,LT,AES-11,8/11/23,8/17/23,Natural,4.6,81,M,2,enlarged testes,0,,0,,1,"open, slightly red",0,"good, no movement, behind teste",0,,,n,fish looks good,n,
62,NA,DeltaSmelt,HC,AES-8,8/11/23,8/17/23,Natural,3.8,87,F,1,early stage egg development,1,"minor bruising ventral, behind pec fins",0,,,,,,0,,,n,lots of air in stomach,n,
63,NA,DeltaSmelt,FC,AES-7,8/11/23,8/19/23,Natural,3.5,77,F,4,seemed to be post-spawn,0,,0,,,,,,0,,,n,"fish looked very healthy, some fully developed eggs remained but very few",n,
64,NA,DeltaSmelt,HC,AES-2,8/8/23,8/19/23,Natural,1.9,66,M,2,normal testes,1,minor bruising along midline between pec fins and pelvic fins,1,internal brusing same location as external,,,,,0,,,n,,n,
65,NA,DeltaSmelt,HC,AES-8,8/11/23,8/19/23,Natural,5.1,81,F,3,lots of big eggs,0,,0,,,,,,1,redness in each eye,,n,"fish looked healthy, not sure why died pre-spawn",n,
66,NA,DeltaSmelt,VS,AES-10,11-Aug,8/19/23,Natural,2.8,73,M,2,normal testes,2,"lots of ventral bruising, and near incision and along midline",2,heavy internal bruising around incision,3,"long, testes/guts protruding, very red",,,0,,,n,"fish looks bad, but all clearly related to incision. suprised lasted this long.",n,
shed,51,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,160,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,01A1,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,01A8,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,035C,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,036E,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,551,DeltaSmelt,VT,AES-6,8/8/23,8/12/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,677,DeltaSmelt,VT,AES-6,8/8/23,8/12/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,1.00E+09,DeltaSmelt,VT,AES-12,8/11/23,8/12/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,00C2,DeltaSmelt,VT,AES-6,8/8/23,8/21/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,01CB,DeltaSmelt,VT,AES-12,8/11/23,8/27/23,Shed,,,,,,,,,,,,,,,,,,,,
