Number,TagID_Hex,spp,Rel_group,TankID,TagDate,MortDate,ReasonforMort,Mort_Mass_g,Mort_FL_mm,Sex,ReproIndex,ReproNotes,Ext.Bruise_Score,ExtBruise_Notes,IntBruise_Score,IntBruise_Notes,Incision_Score,Incision_Notes,TagPlacement_Score,TagPlacement_Notes,GenAppearance_Score,GenAppearance_Notes,CumulativeScore,Gut_Full_YN,Other Notes,PhotosTaken_YN,Photo Notes
35,02AF,DeltaSmelt,LT,AES-11,8/11/23,8/13/23,Natural,5.4,89,M,2,enlarged testes,2,significant bruising opposite of incision and ventral of incision,3,significant internal hemorraging,2,"open, bloody",4,"moved dorsal, and towards head, caused damage to internal organs",1,redness around head and right eye,,N,,n,
36,526,DeltaSmelt,LT,AES-11,8/11/23,8/13/23,Natural,3.4,74,M,4,post spawn ,1,minor bruising opposite incision,2,significant bleeding around tag,1,"slightly open, red",0,,0,,,N,,n,
37,NA,DeltaSmelt,LS,AES-9,8/11/23,8/13/23,Natural,3.7,77,F,1,premature eggs ,0,,0,,1,"slightly open, clean",,,1,frayed caudal,,n,fish looked healty,n,
38,NA,DeltaSmelt,FC,AES-1,8/8/23,8/13/23,Natural,2.7,72,M,2,enlarged testes,0,,0,,,,,,0,,,n,"small male, seemed healthy",n,
39,NA,DeltaSmelt,FC,AES-7,8/11/23,8/13/23,Natural,4.7,81,F,1,premature eggs,0,,0,,,,,,0,,,y,healthy female,n,
40,NA,DeltaSmelt,LS,AES-3,8/8/23,8/13/23,Natural,4.6,84,M,2,enlarged testes,0,,0,,1,"good, barely open",,,0,,,n,,n,
41,315,DeltaSmelt,LT,AES-5,8/8/23,8/13/23,Natural,4.4,79,M,1,normal testes,1,bruising around incision,0,,2,"slightly open, significant redness",2,"dorsal and posterior migration, may have impact GI tract",2,redness throughout body,,n,,n,
42,01A6,DeltaSmelt,LT,AES-5,8/8/23,8/14/23,Natural,3.8,79,M,2,enlarged testes,0,,0,,1,partially healed,0,,0,,,N,,n,
43,NA,DeltaSmelt,LS,AES-3,8/8/23,8/14/23,Natural,3.4,75,F,3,,0,,,,1,"open, clean",,,0,,,N,,n,
44,NA,DeltaSmelt,HC,AES-8,8/11/23,8/14/23,Natural,4.1,81,F,4,,1,"ventral, possibly due to spawning",0,,,,,,0,,,N,,n,
45,NA,DeltaSmelt,LS,AES-9,8/11/23,8/14/23,Natural,3.3,78,F,4,Post-spawn,1,Minor bruising opp of incision,,,1,partially healed,,,1,frayde caudal,,N,,n,
46,NA,DeltaSmelt,VS,AES-10,8/11/23,8/14/23,Natural,4,77,F,3,,2,bruising around pec fins,0,,2,"open, fatty tissue pertruding",,,0,,,N,,n,
47,068D,DeltaSmelt,LT,AES-11,8/11/23,8/14/23,Natural,3.2,78,M,,unsure due to potential very small testes; either 1 or 4,1,Minor bruising opp of incision,1,minor redness around tag,1,"clean, open",3,damage to GI tract,1,frayde caudal and red eyes,,N,,n,
48,02D6,DeltaSmelt,LT,AES-11,8/11/23,8/14/23,Natural,3.9,83,F,4,,1,Minor bruising opp of incision,0,,1,open ,1,,0,,,N,,n,
49,002C,DeltaSmelt,VT,AES-12,8/11/23,8/14/23,Natural,2.8,74,M,2,enlarged testes,1,minor bruising around pec fin,0,,1,partially open,0,,1,frayde caudal,,N,,n,
50,NA,DeltaSmelt,HC,AES-8,8/11/23,8/15/23,Natural,5.8,88,F,3,mature eggs,0,,0,,,,,,0,,,n,"fish looks great, ready to spawn",n,
51,NA,DeltaSmelt,HC,AES-8,8/11/23,8/15/23,Natural,3.9,79,M,2,enlarged testes,1,minor brusing right side between pec and pelvic fins,0,,,,,,1,minor redness around head,,n,,n,
52,NA,DeltaSmelt,VS,AES-10,8/11/23,8/15/23,Natural,2.3,71,F,1,early stage egg development,0,,0,,1,"double incision, but clean and mostly closed",,,0,,,n,,n,
53,535,DeltaSmelt,VT,AES-12,8/11/23,8/15/23,Natural,3,73,M,2,enlarged testes,1,minor bruising right pec fin,0,,1,"open, teste visible",0,"good, no movement",0,,,y,,n,
54,Shed,DeltaSmelt,VT,AES-12,8/11/23,8/15/23,Natural,5.7,87,F,3,maybe partially 4,0,,0,,1,"clean, open",NA - shed,,0,,,n,"fish looks good, shed tag but incision looks good (not too large) maybe mort due to partial spawn",n,
55,018F,DeltaSmelt,VT,AES-12,8/11/23,8/16/23,Natural,3,72,M,1,,1,minor brusiing on either side,1,,1,"open, tag visible",2,90 degrees of rotation,0,,,N,fish looks good,n,
56,NA,DeltaSmelt,VS,AES-10,8/11/23,8/16/23,Natural,2.1,72,M,,"very small testies, unsure if post spawn; either 1 or 4",1,brusing near vent,0,,1,"closed, red",,,1,redness throughout,,N,,n,
57,NA,DeltaSmelt,FC,AES-7,8/11/23,8/16/23,Natural,4,85,F,4,post-spawn ,1,minor vental brusing,0,,,,,,0,,,N,,n,
58,05C2,DeltaSmelt,LT,AES-5,8/8/23,8/16/23,Natural,6.1,89,F,1,,1,"brusing near vent, pelvic fins",0,,1,mostly healed,0,,0,,,n,,n,
59,NA,DeltaSmelt,VS,AES-4,8/8/23,8/16/23,Natural,4.3,80,F,4,post-spawn,2,significant brusing near vent ,0,,1,"closed, red",,,1,general redness throughout,,n,,n,
60,NA,DeltaSmelt,HC,AES-2,8/8/23,8/16/23,Natural,4.7,85,F,4,post-spawn,2,brusing around pelvic fins,0,,,,,,1,redness throughout,,n,,n,
61,01AF,DeltaSmelt,LT,AES-11,8/11/23,8/17/23,Natural,4.6,81,M,2,enlarged testes,0,,0,,1,"open, slightly red",0,"good, no movement, behind teste",0,,,n,fish looks good,n,
62,NA,DeltaSmelt,HC,AES-8,8/11/23,8/17/23,Natural,3.8,87,F,1,early stage egg development,1,"minor bruising ventral, behind pec fins",0,,,,,,0,,,n,lots of air in stomach,n,
63,NA,DeltaSmelt,FC,AES-7,8/11/23,8/19/23,Natural,3.5,77,F,4,seemed to be post-spawn,0,,0,,,,,,0,,,n,"fish looked very healthy, some fully developed eggs remained but very few",n,
64,NA,DeltaSmelt,HC,AES-2,8/8/23,8/19/23,Natural,1.9,66,M,2,normal testes,1,minor bruising along midline between pec fins and pelvic fins,1,internal brusing same location as external,,,,,0,,,n,,n,
65,NA,DeltaSmelt,HC,AES-8,8/11/23,8/19/23,Natural,5.1,81,F,3,lots of big eggs,0,,0,,,,,,1,redness in each eye,,n,"fish looked healthy, not sure why died pre-spawn",n,
66,NA,DeltaSmelt,VS,AES-10,8/11/23,8/19/23,Natural,2.8,73,M,2,normal testes,2,"lots of ventral bruising, and near incision and along midline",2,heavy internal bruising around incision,3,"long, testes/guts protruding, very red",,,0,,,n,"fish looks bad, but all clearly related to incision. suprised lasted this long.",n,
67,Shed,DeltaSmelt,VT,AES-6,8/8/23,8/20/23,Natural,3.2,75,M,2,,0,,0,,1,"open slightly, clean",,,1,gills red,,n,,n,
68,NA,DeltaSmelt,HC,AES-8,8/11/23,8/20/23,Natural,5.6,90,F,2,mostly fully developed eggs,1,minor bruising around pec fins,0,,,,,,0,,,n,,n,
359,NA,DeltaSmelt,FC,AES-7,8/11/23,8/22/23,Natural,,,,,,,,,,,,,,,,,,Mistakenly disposed of by intern conducting fishcare rather than preserving for necropsy,,
69,216,DeltaSmelt,VT,AES-12,8/11/23,8/23/23,Natural,2.7,73,M,2,,1,minor bruising around pec and pelv fins,0,,0,healed,0,good,0,,,n,fish looked good,n,
70,02B9,DeltaSmelt,LT,AES-11,8/11/23,8/23/23,Natural,4.5,87,F,2,mostly developed eggs,1,minor bruising around pec fins,0,,1,almost fully healed,1,minor rotation,1,operculum deformity,,n,,n,
71,NA,DeltaSmelt,FC,AES-7,8/11/23,8/23/23,Natural,2.2,83,M,2,,0,,0,,,,,,1,redness around gills,,n,,n,
72,NA,DeltaSmelt,LS,AES-9,8/11/23,8/23/23,Natural,3.5,74,F,3,"lots of fully developed eggs, spawn imminent ",0,,0,,1,nearly fully healed,,,0,,,n,"fish looked good, pre-spawn stress likely cause of death",n,
73,330,DeltaSmelt,VT,AES-12,8/11/23,8/24/23,Natural,3,78,M,2,,0,,0,,0,healed,0,no migration,2,"lots of redness around head, gills and pec fins",,n,,n,
74,010D,DeltaSmelt,LT,AES-11,8/11/23,8/24/23,Natural,4.4,88,F,2,"eggs, not all fully developed",0,,0,,0,healed,1,minor rotation,0,,,n,,n,
360,NA,DeltaSmelt,FC,AES-1,8/8/23,8/24/23,Natural,,,,,,,,,,,,,,,,,,Mistakenly disposed of by intern conducting fishcare rather than preserving for necropsy,,
75,NA,DeltaSmelt,FC,AES-7,8/11/23,8/25/23,Natural,3.4,87,F,4,"seems post-spawn, sunken stomach",2,"bruising along ventral side of body, possibly from spawning",1,,,,,,1,some redness and bruising throughout,,n,,n,
76,Shed,DeltaSmelt,VT,AES-6,8/8/23,8/26/23,Natural,2.4,74,M,2,,1,minor bruising around incision,0,,1,mostly healed,,shed,0,,,n,,n,
77,NA,DeltaSmelt,VS,AES-10,8/11/23,8/27/23,Natural,4.7,86,F,2,not fully developed eggs,1,bruising around pec fis,0,,1,mostly healed,,,1,redness around gills,,n,,n,
78,NA,DeltaSmelt,VS,AES-4,8/8/23,8/28/23,Natural,3,75,M,2,,1,ventral redness,0,,1,mostly healed,,,0,,,n,,n,
79,NA,DeltaSmelt,LS,AES-9,8/11/23,8/29/23,Natural,2,65,M,2,,0,,1,Int bruising around incision,1,"slightly red, mostly healed",,,0,,,n,very small and skinny,n,
80,034C,DeltaSmelt,LT,AES-11,8/11/23,9/5/23,Natural,3.4,76,M,2,normal testes,3,heavy ventral bruising,3,"heavy internal bleeding and bruising, around tag and other places",0,fully healed,1,slight rotation,0,fine outside of bruising described previously,,n,"Not sure why such significant bruising, could have been siphoned? or maybe bruising from attempting to spawn?",n,
81,NA,DeltaSmelt,VS,AES-4,8/8/23,9/6/23,Natural,4.4,87,F,1,early egg development,0,,0,,0,healed,,,0,,,n,"fish looks great, fatty tissue inside, appeared healthy, incision closed no bruising, unsure why mort",y,healed venral incision (not great photos)
82,NA,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,3.6,84,M,2,,0,,0,,,,,,1,opercoum missing,,y,,y,missing opercoum
83,NA,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,3.1,73,M,2,,0,,0,,,,,,0,,,y,,n,
84,NA,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,4.8,88,M,2,,0,,0,,,,,,0,,,y,,n,
85,NA,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,3.9,83,M,2,,0,,0,,,,,,0,,,y,,n,
86,NA,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,4.5,82,M,2,,0,,0,,,,,,1,redness around right pectoral fin,,y,,n,
87,NA,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,3.6,79,M,2,,0,,0,,,,,,0,,,y,,n,
88,NA,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,3.9,81,F,0,,0,,0,,,,,,1,inflamed vent,,y,VIE tag present,n,
89,NA,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,3,77,M,2,,0,,0,,,,,,0,,,y,,n,
90,NA,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,3.4,76,M,2,,0,,0,,,,,,1,redness aorund pectoral fin,,y,,n,
91,NA,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,6.3,94,F,1,,0,,0,,,,,,0,,,y,,n,
92,NA,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,3.2,79,M,2,,0,,0,,,,,,0,,,y,,n,
93,NA,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,6.4,95,F,1,,0,,0,,,,,,0,,,y,,n,
94,NA,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,3.8,86,F,1,very very early stage of egg development,0,,0,,,,,,0,,,y,,y,gallbladder
95,NA,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,4.3,85,M,2,,0,,0,,,,,,0,,,y,,n,
96,NA,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,2.4,71,M,2,,0,,0,,,,,,1,fraid caudal fin,,y,,n,
97,NA,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,4.4,82,M,2,,0,,0,,,,,,0,,,y,,n,
99,NA,DeltaSmelt,FC,AES-1,8/8/23,9/8/23,Euth,4.4,89,F,1,,0,,0,,,,,,0,,,y,,n,
100,NA,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,6.1,92,F,1,,0,,0,,,,,,0,,,y,VIE tag present,n,
101,NA,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,3.7,88,M,2,,0,,0,,,,,,0,,,y,,n,
102,NA,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,3,75,F,1,,0,,0,,,,,,1,opercoum wound,,y,,n,
103,NA,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,3.1,80,F,0,,0,,0,,,,,,0,,,y,,n,
104,NA,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,2.7,73,M,2,,0,,0,,,,,,0,,,y,,n,
105,NA,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,2.7,71,M,2,,0,,0,,,,,,0,,,y,,n,
106,NA,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,3.6,77,M,2,,0,,0,,,,,,0,,,y,lots of fat for a male,n,
107,NA,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,2.6,73,M,2,,0,,0,,,,,,1,redness around gills,,y,,n,
108,NA,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,3.8,80,M,2,,0,,0,,,,,,0,,,y,,n,
109,NA,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,3,74,M,2,,0,,0,,,,,,1,redness around pectoral fin,,y,,n,
110,NA,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,4.6,85,M,2,,0,,0,,,,,,0,,,y,,n,
111,NA,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,4,84,M,2,,0,,0,,,,,,0,,,y,,n,
112,NA,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,3.6,78,M,2,,0,,0,,,,,,1,redness around pectoral fin,,y,,n,
113,NA,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,3.8,81,M,2,,0,,0,,,,,,0,,,y,,n,
114,NA,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,4.2,82,M,2,,0,,0,,,,,,0,,,y,lots of fat,n,
115,NA,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,2.3,70,M,2,,0,,0,,,,,,1,redness in left eye,,y,,n,
116,NA,DeltaSmelt,HC,AES-2,8/8/23,9/8/23,Euth,3.1,82,F,,"no fat, sunken stomach; either 0 or 4",0,,0,,,,,,0,,,y,,n,
117,NA,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3.4,79,M,2,,0,,0,,0,,,,1,cataract in right eye,,y,,n,
118,NA,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3.4,82,M,2,potentially post spawn? very hard to tell,0,,0,,0,,,,0,,,y,,n,
119,NA,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,4.5,82,F,3,,0,,0,,0,,,,0,,,y,,n,
120,NA,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3.2,76,M,2,,0,,0,,0,,,,1,"deformed snout, eye redness",,y,,n,
121,NA,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,4.9,85,M,2,,0,,0,,1,"almost fully healed, long",,,1,redness around the operculum,,y,lots of fatty tissue for a male,n,
122,NA,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3.6,80,M,2,,0,,0,,0,,,,0,,,y,,n,
123,NA,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,4.2,83,F,0,,0,,0,,0,"fully healed, but very small incision",,,0,,,y,fatty tissue grafted to incision location,n,
124,NA,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3.2,76,M,2,,0,,0,,0,,,,1,fraid caudal fin,,y,"VIE tag present, testes grafted to incision",n,
125,NA,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3.7,85,M,2,,0,,0,,0,,,,0,,,y,,n,
126,NA,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,2.8,76,M,2,,0,,0,,0,,,,0,,,y,,n,
127,NA,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3.9,79,M,2,,0,,0,,0,,,,0,,,y,teste grafted to incision,n,
128,NA,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,4.1,85,F,1,,0,,0,,0,,,,0,,,y,,n,
129,NA,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,4,80,M,2,,0,,0,,1,"healed, but evidence of past tearing",,,0,,,y,lots of fat for a male,n,
130,NA,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3.5,75,M,2,,0,,0,,0,,,,0,,,y,,n,
131,NA,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3.4,83,M,1,very small teste,0,,0,,0,,,,1,eye redness,,y,,n,
132,NA,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,4.6,84,M,2,,0,,0,,0,,,,0,,,y,,n,
133,NA,DeltaSmelt,LS,AES-3,8/8/23,9/8/23,Euth,3,75,M,2,,0,,0,,0,,,,0,,,y,,n,
134,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,3.6,79,M,2,,0,,0,,1,nearly fully healed,,,1,operculum deformity,,y,"VIE tag present, fatty tissue grafted to the incision",n,
135,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,3.9,81,M,2,,0,,0,,1,nearly fully healed,,,1,fraid caudal fin,,y,,n,
136,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,4.4,82,F,1,,0,,0,,0,,,,1,redness around gills,,y,,n,
137,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,2.7,79,M,2,,0,,0,,0,,,,1,redness in right eye,,y,,n,
138,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,4.2,82,M,2,,0,,0,,0,,,,1,redness around the operculum,,y,,n,
139,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,2.9,78,F,0,,0,,0,,0,fully healed but long incision,,,0,,,y,fatty tissue grafted to the incision location,n,
140,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,3,79,M,2,testes grafted to incision sight,0,,0,,0,,,,0,,,y,THIS FISH IS PROABLY IN THE WRONG TREATMENT GROUP. LS INSEAD OF VS. VIE tag present - second instance of LS fish being in VS tank,n,
141,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,5.2,90,F,1,,0,,0,,0,,,,0,,,y,,n,
