Rel_group,TagID_Hex,Time_in_ana,Time_out_anac,Weight,Length,Scales,Fins,Eyes,Time_out_surgery,Bleeding,Time_recovered,Surgeon,Data_Rec,HT_Temp,HT_DO,SB_Temp,SB_DO,Notes,DateTagged,OrderID
16T,0495,13:05:48,13:07:33,3.15,74,G,G,G,13:08:43,0,13:10:01,JH,AK,16.5,10.2,16.6,,,7/12/23,20
16C,JH09,13:11:06,13:13:13,3.14,75,G,G,G,13:14:24,0,13:18:21,JH,AK,16.5,10.2,16.6,,,7/12/23,21
16T,03DD,13:14:20,13:16:01,6.13,91,G,G,G,13:17:10,1,13:18:52,JH,AK,16.5,10.2,16.6,,,7/12/23,22
16C,JH10,13:17:03,13:18:56,1.83,68,G,G,G,13:20:10,0,13:22:36,JH,AK,16.5,10.2,16.6,,,7/12/23,23
16T,020A,13:20:13,13:22:01,4.12,83,G,G,G,13:23:10,0,13:25:15,JH,AK,16.5,10.2,16.6,,,7/12/23,24
16C,JH11,13:22:51,13:25:25,2.97,80,G,G,G,13:26:44,0,13:28:42,JH,AK,16.5,10.2,16.6,,"protusion of lower lip, maybe bacterial growth",7/12/23,25
16T,01F6,13:27:15,13:29:32,5.62,85,G,G,G,13:31:13,0,13:31:54,JH,AK,16.5,10.2,16.6,,"mouth funky, gravid, mouths came out of the incision",7/12/23,26
16C,JH12,13:30:53,13:32:34,2.67,70,G,G,G,13:34:02,0,13:34:58,JH,AK,16.5,10.2,16.6,,,7/12/23,27
16T,0159,13:44:01,13:45:56,3.25,78,G,G,G,13:47:28,1,13:50:01,JH,AK,16.5,10.2,16.6,,"WaterKO bath temp at 11.1, earlier fish was rejected",7/12/23,29
16C,JH13,13:47:37,13:49:07,1.95,66,G,G,G,13:50:34,0,13:53:45,JH,AK,16.5,10.2,16.6,,,7/12/23,30
16T,0037,13:50:56,13:52:22,2.33,70,G,G,G,13:54:17,1,13:54:42,JH,AK,12.4,10.8,12,,small cut on right side. Fish knicked above incision point,7/12/23,31
12C,JH14,14:23:20,14:25:33,3.73,80,G,G,G,14:27:04,0,14:27:20,JH,AK,12.4,10.8,12,,,7/12/23,32
12T,0355,14:26:24,14:28:34,2.53,70,G,G,G,14:30:07,1,14:39:07,JH,AK,12.4,10.8,12,,,7/12/23,33
12C,JH15,14:30:26,14:32:12,2.96,78,G,G,G,14:33:38,0,14:33:55,JH,AK,12.4,10.8,12,,,7/12/23,34
12T,03BC,14:32:46,14:35:06,2.83,74,G,G,G,14:36:51,0,14:40:38,JH,AK,12.4,10.8,12,,,7/12/23,35
12C,JH16,14:35:55,14:38:01,2.65,69,G,G,G,14:39:42,0,14:40:05,JH,AK,12.4,10.8,12,,,7/12/23,36
12T,076F,14:40:31,14:43:28,2.79,70,G,G,G,14:45:01,0,14:47:14,JH,AK,12.4,10.8,12,,,7/12/23,37
12C,JH17,14:43:41,14:46:30,5.72,93,G,G,G,14:47:54,0,14:51:11,JH,AK,12.4,10.8,12,,,7/12/23,38
12T,04D2,14:47:32,14:49:45,3.15,78,G,G,G,14:51:57,0,14:54:57,JH,AK,12.4,10.8,12,,,7/12/23,39
12C,JH18,14:51:53,14:54:12,1.94,70,G,G,G,14:56:17,0,14:58:43,JH,AK,12.4,10.8,12,,,7/12/23,40
12T,0027,14:54:46,14:57:20,2.95,75,G,G,G,14:58:26,0,15:00:20,JH,AK,12.4,10.8,12,,,7/12/23,41
12C,JH19,14:57:58,15:00:15,4.7,85,G,G,G,15:01:23,0,15:03:16,JH,AK,12.4,10.8,12,,,7/12/23,42
12T,033F,15:04:11,15:07:03,2.41,70,G,G,G,15:08:19,1,15:11:13,JH,AK,12.4,10.8,12,,,7/12/23,43
12C,JH20,15:07:26,15:10:01,5.72,86,G,G,G,15:11:24,0,15:14:01,JH,AK,12.4,10.8,12,,"Short operculum, gravid",7/12/23,44
12T,0052,15:10:37,15:13:33,3.04,78,G,G,G,15:15:06,0,15:19:44,JH,AK,12.4,10.8,12,,,7/12/23,45
12C,JH21,15:17:03,15:18:56,3.12,75,G,G,G,15:20:33,0,15:22:17,JH,AK,12.4,10.8,12,,,7/12/23,46
16T,00AB,15:41:52,15:43:52,3.33,80,G,G,G,15:45:12,0,15:47:08,JH,AK,16.5,10.2,16.8,,,7/12/23,47
16C,JH22,15:45:00,15:46:48,5.02,86,G,G,G,15:48:15,0,15:49:28,JH,AK,16.5,10.2,16.8,,,7/12/23,48
16C,JH23,15:49:18,15:51:34,7.84,95,G,G,G,15:53:14,0,15:57:08,JH,AK,16.5,10.2,16.8,,Gravid,7/12/23,50
16T,03DC,15:51:57,15:53:51,5.34,85,G,G,G,15:54:51,1,15:57:22,JH,AK,16.5,10.2,16.8,,Gravid,7/12/23,51
16C,JH24,15:55:59,15:57:55,2.58,74,G,G,G,15:59:00,0,16:01:18,JH,AK,16.5,10.2,16.8,,,7/12/23,52
16C,JH25,16:03:33,16:05:39,4.15,84,G,G,G,16:06:55,0,16:10:05,JH,AK,16.5,10.2,16.8,,,7/12/23,53
16T,033E,15:59:22,16:01:26,5.82,85,G,G,G,16:02:42,0,16:04:25,JH,AK,16.5,10.2,16.8,,Gravid,7/12/23,54
12T,0022,10:37:07,10:39:09,3.35,80,G,G,G,10:40:55,0,10:43:01,EC,RW,12.4,10.8,12.2,,,7/12/23,55
12C,EC01,10:46:48,10:49:17,6.3,95,G,G,G,10:51:07,0,10:51:13,EC,RW,12.4,10.8,12.2,,,7/12/23,56
12T,0131,11:00:06,11:01:58,6.33,92,G,G,G,11:03:12,0,11:04:21,EC,RW,12.4,10.8,12.2,,Split codal fin,7/12/23,57
12C,EC02,11:09:18,11:11:52,2.76,72,G,G,G,11:13:16,0,11:13:54,EC,RW,12.4,10.8,12.2,,,7/12/23,58
12T,0623,11:24:13,11:26:06,3.19,77,G,G,G,11:27:23,0,11:29:53,EC,RW,12.4,10.8,12.2,,,7/12/23,59
12C,EC03,11:28:08,11:30:10,4.33,80,G,G,G,11:31:30,0,11:33:49,EC,RW,12.4,10.8,12.2,,,7/12/23,60
12T,02F2,11:35:19,11:37:26,3.8,82,G,G,G,11:39:21,0,11:40:58,EC,RW,12.4,10.8,12.2,,,7/12/23,61
12C,EC04,11:41:16,11:43:34,2.93,74,G,G,G,11:45:33,0,11:46:48,EC,RW,12.6,10.8,12.2,,,7/12/23,62
12T,0140,11:48:26,11:50:42,2.67,68,G,G,G,11:52:03,0,11:55:15,EC,RW,12.6,10.8,12.2,,,7/12/23,63
16T,0056,12:43:30,12:45:49,5.37,84,G,G,G,12:47:04,1,12:48:07,EC,RW,16.5,10.2,12.2,,Fish twitched on surgery table,7/12/23,64
16C,EC06,12:47:56,12:50:13,3.76,79,G,G,G,12:51:33,0,,EC,RW,16.5,10.2,12.2,,Missed recovery time call out,7/12/23,65
16T,00CB,12:51:00,12:53:06,4.96,82,G,G,G,12:54:16,1,12:55:28,EC,RW,16.5,10.2,12.2,,,7/12/23,66
16C,EC07,12:53:39,12:55:44,3.54,81,G,G,G,12:56:59,0,12:58:55,EC,RW,16.5,10.2,12.2,,,7/12/23,67
16T,022D,12:59:14,13:01:11,2.88,77,G,G,G,13:02:18,0,13:04:07,EC,RW,16.5,10.2,12.2,,Spawned in recovery,7/12/23,68
16C,EC08,13:02:26,13:04:12,11.6,111,G,G,G,13:05:19,0,13:07:22,EC,RW,16.5,10.2,12.2,,,7/12/23,69
16T,0360,13:05:43,13:07:36,3.18,79,G,G,G,13:09:15,0,13:12:01,EC,RW,16.5,10.2,12.2,,,7/12/23,70
16C,EC09,13:08:15,13:10:20,2.81,76,G,G,G,13:11:56,0,13:14:53,EC,RW,16.5,10.2,12.2,,,7/12/23,71
16T,00C0,13:11:10,13:13:14,4.24,85,G,G,G,13:14:24,1,13:16:13,EC,RW,16.5,10.2,12.2,,Fair incision,7/12/23,72
16C,EC10,13:14:21,13:16:08,3.17,82,G,G,G,13:17:29,0,13:19:19,EC,RW,16.5,10.2,12.2,,,7/12/23,73
16T,06CE,13:17:03,13:19:06,2.69,73,G,G,G,13:20:12,0,13:21:44,EC,RW,16.5,10.2,12.2,,,7/12/23,74
16C,EC11,13:20:13,13:22:09,2.58,70,G,G,G,13:23:17,0,13:24:44,EC,RW,16.5,10.2,12.2,,,7/12/23,75
16T,03C0,13:22:57,13:25:21,6.25,81,G,G,G,13:26:13,0,13:29:31,EC,RW,16.5,10.2,12.2,,Spawned during surgery,7/12/23,76
16C,EC12,13:27:15,13:29:11,3.88,78,G,G,G,13:30:13,0,13:31:02,EC,RW,16.5,10.2,12.2,,,7/12/23,77
16T,012D,13:30:41,13:32:32,4.76,82,G,G,G,13:33:34,0,13:36:22,EC,RW,16.5,10.2,12.2,,KO water temp at 11.1,7/12/23,78
16C,EC13,13:43:55,13:45:52,3.32,75,G,G,G,13:46:55,0,13:48:23,EC,RW,16.5,10.2,12.2,,,7/12/23,79
16T,0069,13:47:30,13:49:20,2.2,70,G,G,G,13:50:32,0,13:54:27,EC,RW,16.5,10.2,12.2,,Not an easy surgery,7/12/23,80
16C,EC14,13:50:44,13:52:25,2.3,70,G,G,G,13:53:39,0,13:54:59,EC,RW,16.5,10.2,12.2,,,7/12/23,81
12C,EC05,14:20:01,14:21:33,2.76,73,G,G,G,14:23:00,0,14:23:34,EC,RW,12.4,10.8,12.2,,Fish jumped off surgery table,7/12/23,82
12T,0716,14:23:21,14:25:25,5.72,86,G,G,G,14:26:19,0,14:27:38,EC,RW,12.4,10.8,12.2,,Spawned during surgery,7/12/23,83
12C,EC15,14:26:24,14:28:34,2.12,69,G,G,G,14:29:35,0,14:33:23,EC,RW,12.4,10.8,12.2,,,7/12/23,84
12T,06FC,14:32:43,14:34:48,2.26,73,G,G,G,14:35:49,0,14:39:27,EC,RW,12.4,10.8,12.2,,Red fish,7/12/23,85
12C,EC16,14:35:53,14:37:51,3.65,78,G,G,G,14:38:52,0,14:42:59,EC,RW,12.4,10.8,12.2,,,7/12/23,86
12T,03FC,14:39:55,14:41:58,4.61,82,G,G,G,14:43:14,0,14:44:59,EC,RW,12.4,10.8,12.2,,"Poor incision, fish jumped",7/12/23,87
12C,EC17,14:43:38,14:46:22,2.74,71,G,G,G,14:47:41,0,14:48:53,EC,RW,12.4,10.8,12.2,,,7/12/23,88
12T,0260,14:47:32,14:49:55,3.48,76,G,G,G,14:50:52,0,14:52:29,EC,RW,12.4,10.8,12.2,,,7/12/23,89
12C,EC18,14:51:51,14:54:03,2.23,70,G,G,G,14:55:02,0,14:56:14,EC,RW,12.4,10.8,12.2,,,7/12/23,90
12T,05FA,14:57:42,14:59:56,2.65,75,G,G,G,15:01:01,0,15:05:10,EC,RW,12.4,10.8,12.2,,,7/12/23,91
12C,EC19,15:01:11,15:03:24,1.99,67,G,G,G,15:04:44,0,15:06:27,EC,RW,12.4,10.8,12.2,,,7/12/23,92
12T,01F4,15:03:46,15:06:22,2.99,75,G,G,G,15:07:37,0,15:10:58,EC,RW,12.4,10.8,12.2,,,7/12/23,93
12C,EC20,15:07:26,15:09:33,3.55,79,G,G,G,15:10:49,0,15:11:21,EC,RW,12.4,10.8,12.2,,,7/12/23,94
12T,052F,15:10:25,15:12:54,5.72,93,G,G,G,15:14:12,1,15:20:53,EC,RW,12.4,10.8,12.2,,,7/12/23,95
12C,EC21,15:14:20,15:16:37,2.27,74,G,G,G,15:17:53,0,15:20:55,EC,RW,12.4,10.8,12.2,,,7/12/23,96
16T,00BE,15:39:40,15:41:20,2.97,76,G,G,G,15:43:09,0,15:46:17,EC,RW,16.5,10.2,12.2,,Fair incision,7/12/23,97
16C,EC22,15:41:56,15:44:02,2.52,70,G,G,G,15:45:53,0,15:46:12,EC,RW,16.5,10.2,12.2,,,7/12/23,98
16T,0725,15:47:08,15:48:55,3.2,80,G,G,G,15:50:24,0,15:51:32,EC,RW,16.5,10.2,12.2,,,7/12/23,99
16C,EC23,15:49:19,15:51:29,4.11,78,G,G,G,15:53:22,0,15:53:55,EC,RW,16.5,10.2,12.2,,Looks gravid,7/12/23,100
16T,02C1,15:52:00,15:54:17,2.08,68,G,G,G,15:55:32,0,15:59:42,EC,RW,16.5,10.2,12.2,,Fair incision,7/12/23,101
16C,EC24,15:56:00,15:58:04,2.61,69,G,G,G,15:59:26,0,16:00:24,EC,RW,16.5,10.2,12.2,,,7/12/23,102
